,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Arsenal,1,35,35,"3,150",35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0
1,Aston Villa,2,35,35,"3,150",35.0,49,1.40,141,91,66.0,17,9,9,7,20.0,2,1,1,0,50.0
2,Bournemouth,3,35,35,"3,150",35.0,42,1.20,164,122,76.8,14,11,10,8,22.9,4,4,0,0,0.0
3,Brentford,2,35,35,"3,150",35.0,53,1.51,190,140,72.6,15,7,13,7,20.0,1,1,0,0,0.0
4,Brighton,2,35,35,"3,150",35.0,56,1.60,137,83,65.0,13,13,9,7,20.0,8,8,0,0,0.0
5,Chelsea,2,35,35,"3,150",35.0,41,1.17,146,104,75.3,18,9,8,9,25.7,6,5,1,0,16.7
6,Crystal Palace,1,35,35,"3,150",35.0,48,1.37,143,97,67.1,11,13,11,10,28.6,2,1,1,0,50.0
7,Everton,1,35,35,"3,150",35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0
8,Fulham,1,35,35,"3,150",35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0
9,Ipswich Town,3,35,35,"3,150",35.0,76,2.17,196,122,64.3,4,10,21,2,5.7,6,6,0,0,0.0
10,Leicester City,3,35,35,"3,150",35.0,76,2.17,196,122,62.8,5,6,24,2,5.7,4,3,1,0,25.0
11,Liverpool,3,35,35,"3,150",35.0,35,1.00,115,81,70.4,25,7,3,14,40.0,2,1,1,0,50.0
12,Manchester City,2,35,35,"3,150",35.0,43,1.23,123,82,68.3,19,7,9,11,31.4,4,4,0,0,0.0
13,Manchester Utd,2,35,35,"3,150",35.0,51,1.46,141,91,66.0,10,9,16,9,25.7,4,3,1,0,25.0
14,Newcastle Utd,2,35,35,"3,150",35.0,45,1.29,148,104,70.3,19,6,10,12,34.3,2,1,1,0,50.0
15,Nott'ham Forest,1,35,35,"3,150",35.0,42,1.20,152,110,74.3,18,7,10,13,37.1,3,3,0,0,0.0
16,Southampton,3,35,35,"3,150",35.0,82,2.34,230,146,67.4,2,5,28,2,5.7,9,7,2,0,22.2
17,Tottenham,4,35,35,"3,150",35.0,57,1.63,156,103,64.7,11,5,19,6,17.1,2,2,0,0,0.0
18,West Ham,2,35,35,"3,150",35.0,59,1.69,172,116,67.4,9,10,16,6,17.1,3,3,0,0,0.0
19,Wolves,3,35,35,"3,150",35.0,62,1.77,149,88,62.4,12,5,18,8,22.9,8,6,2,0,25.0
